nb_coeur	tps_execution	taille vecteur	moy
1	3	1000000	3.25
1	3	1000000	
1	4	1000000	
1	3	1000000	
2	2	1000000	2
2	2	1000000	
2	2	1000000	
2	2	1000000	
4	4	1000000	3
4	2	1000000	
4	2	1000000	
4	4	1000000	
1	30	10000000	30.25
1	30	10000000	
1	30	10000000	
1	31	10000000	
2	36	10000000	35.5
2	34	10000000	
2	37	10000000	
2	35	10000000	
4	71	10000000	72.25
4	80	10000000	
4	70	10000000	
4	68	10000000	
1	301	100000000	300.75
1	299	100000000	
1	302	100000000	
1	301	100000000	
2	368	100000000	367.75
2	370	100000000	
2	366	100000000	
2	367	100000000	
4	783	100000000	781.5
4	776	100000000	
4	781	100000000	
4	786	100000000	

